,titles,sub_header,h2,content,author,tag,date,link,source
1266,lisbeth og helene vandt lønkamp på supersygehus: nu ændres lønsystem for 4.200 sygeplejersker,aarhus universitetshospital har fundet 11 millioner kroner til nyt lønsystem.,katalysator for forhandlingerne 11 millioner til nyt lønsystem,"to anæstesisygeplejerskers kamp for en mere retfærdig løn kommer nu deres 4.200 sygeplejerskekollegaer på aarhus universitetshospital til gode. i foråret blev helene frøkjær og lisbeth østergaard så trætte af sygehusets lønsystem, at de sagde op og rejste til norge for at arbejde som vikarer. men efter få måneder fik de deres krav opfyldt og blev genansat på aarhus universitetshospital. og nu har deres kamp været med til at ændre lønsystemet for alle de andre sygeplejersker på sygehuset. - det er jo egentlig det, vi håbede på fra starten, men jeg tror ikke, vi havde turde håbe på det. så jeg er rigtig glad for, at man fra hospitalets ledelses side har erkendt, at man egentlig havde et lønsystem, der var så åbenlyst uretfærdigt, som det var, siger helene frøkjær. og de to sygeplejerskers lønkamp har gjort indtryk på kollegerne. - der er mange, der har været henne ved os og sige, at vi har gjort det, som mange af de andre ikke turde gøre, og de synes, det er rigtig godt gået, siger helene frøkjær. jacob gøtzsche, der er fællestillidsrepræsentant for sygeplejerskerne ved aarhus universitetshospital, er glad for, at der nu efter ni års forhandlinger er fundet et nyt lønsystem. han mener, at helene frøkjær og lisbeth østergaard har spillet en rolle for at få det til at ske. men de er langt fra alene. - de to har været en katalysator i vores forhandlinger. men der har været mange, der er gået forud for de to, og der er også flere, der er kommet bagefter. der er mange, der har gjort opmærksom på den uretfærdighed, der har været, siger han. førhen kunne nyansatte sygeplejersker overhale kollegaer, der havde været ansat i årevis, fordi nyansatte havde krav på en lønforhandling, hvor de kunne forhandle sig til et højere løntrin på baggrund af deres kvalifikationer. men det nye system har forenklet processen og sat mere faste rammer, så de nyansatte sygeplejersker ikke kan starte på et højere løntrin, end de der allerede arbejder på afdelingen. helene frøkjær tror ikke, at lønsystemet var blevet lavet om, hvis ikke de havde taget beslutningen om at sige op og tage til norge for at arbejde i stedet. - vi forsøgte at få hospitalsledelsen i tale allerede dengang og skrev et brev til dem, hvor de egentlig var enige med os i, at det var helt absurd. men de havde ikke pengene på det tidspunkt, siger helene frøkjær. men nu har hospitalet trods talrige sparerunder altså fundet 11 millioner kroner til et bedre og mere gennemskueligt lønsystem for sygeplejerskerne. der er 4.031 sygeplejersker ansat på auh, og med regionens interne vikarbureau har cirka 4.200 deres arbejdsplads på sygehuset. det gamle system var inddelt i fem løntrin, der overlappede hinanden, og det blev opfattet som uretfærdigt, mener sygeplejefaglig direktør inge pia christensen. - det opleves primært uretfærdigt for de sygeplejersker, der måske havde været i en afdeling i fem-seks år og som var havnet på et løntrin på daværende tidspunkt. og så kunne de måske få en ny kollega, som havde erfaring andre steder fra, og så komme ind og overhale dem, siger hun. i det gamle lønsystem kunne det betale sig for erfarne sygeplejersker at shoppe rundt mellem afdelingerne for dermed at stige i løn. på den måde kunne det være svært at fastholde kvalificerede sygeplejersker i én bestemt afdeling. og derfor vil det nye lønsystem også gavne fagligheden. det er i hvert fald håbet hos den sygeplejefaglige direktør. - det, der er det dyreste for os lige nu, er faktisk at mangle dygtige, kompetente sygeplejersker. det er ikke kun inden for operationsområdet, det er sådan set inden for alle mulige sengeområder, hvor vi kan være nødt til at lukke senge, fordi vi mangler sygeplejersker, siger inge pia christensen. opdateret 08/10/2019 11:00: præciseret, at tallet 4.200 sygeplejersker omfatter regionens interne vikarbureau på auh. per juli 2019 er 4.031 sygeplejersker ansat på auh.  tilføjet, at forhandlingerne om sygeplejerskernes lønsystem har varet ni år.",emma fedder schlægelberger,Østjylland,2019-10-07 18:45:00+00:00,https://www.dr.dk/nyheder/regionale/oestjylland/lisbeth-og-helene-vandt-loenkamp-paa-supersygehus-nu-aendres,DR
1267,kurerer halsbetændelse og vejer babyer: flere sygeplejersker sætter sig bag lægens bord ,"flere sygeplejersker og andet sundhedspersonale sikrer, at der fortsat er nok læger til patienterne flere steder i landet.",én læge kan tage flere patienter flere sygeplejersker vil aflaste lægen i fremtiden,"cecilie aaskov widiendahl døjer med en dårlig skulder, og derfor er hun taget til læge i borris ved skjern. men i stedet for lægen er det en sygeplejerske, som tager imod hende i klinikken. her arbejder nemlig også tre sygeplejersker og en lægesekretær. sådan er det efterhånden mange steder i danmark. der mangler læger, så flere sygeplejersker, lægesekretærer og andet praksispersonale myldrer ind i lægehusene. her løser de opgaver, som lægen tidligere tog sig af. det kan for eksempel være børneundersøgelser, behandling af halsbetændelse og rutinekontroller af kronisk syge patienter. i lægehuset i borris tager de sig af 2.800 patienter. det kunne ganske enkelt ikke lade sig gøre uden det ekstra personale. - det er alfa og omega, hvis vi skal passe alle patienter. det ville jeg ikke kunne gøre alene, forklarer martin aagaard poulsen, praktiserende læge. - så skulle vores patienter varetages af noget andet, og det ville typisk være en regionsklinik med skiftende læger, siger han. som patient er cecilie aaskov widiendahl helt tryg ved, at sygeplejersker aflaster lægen og løser opgaver for ham. - jeg synes, det er fint. det gør, at jeg kan blive set hurtigt, når jeg har brug for det, og at jeg ikke skal vente en uge, fordi jeg skal ind til en læge, siger hun. - og jeg mener ikke, at behandlingen bliver dårligere af, at jeg bliver set af en sygeplejerske først, siger cecilie aaskov widiendahl. siden 2011 er der tre procent færre praktiserende læger i danmark. til gengæld er der kommet tre procent flere sygeplejersker og andet praksispersonale i de danske lægehuse. i en tid med lægemangel er det en udvikling, vi skal være glade for, forklarer professor i sundhedsøkonomi fra syddansk universitet jes søgaard. - det gør simpelthen, at lægedækningen er større, end den ellers ville have været. særligt i områder, hvor der er knaphed på praktiserende læger, er det en kæmpe fordel, siger han. foreningen danske patienter hilser udviklingen velkommen. - vi ser, at det kan løfte kvaliteten, fordi fysioterapeuter og sygeplejersker kan byde ind med nogle af de ting, som patienterne efterspørger i dag. det kan også give en lettelse af almen praksis, som der er brug for i dag, for de er pressede på tid, siger vicedirektør annette wandel. arbejdsfordelingen er helt klar på klinikken i borris. sygeplejersken kan hjælpe med mangt og meget lige fra at lægge gips på en arm til at måle blodtryk, men det er kun lægen, der stiller diagnoserne. og hvis der opstår den mindste tvivl, kalder sygeplejersken altid lægen ind. - når vi har lægemangel, skal lægerne bruges til det, de er bedst til: at diagnosticere. så er der en masse andet håndværk, som det er helt relevant at bruge andre folk til, siger praktiserende læge martin aagaard poulsen. sygeplejerske eva stensig er glad for sit job i lægepraksissen, som hun finder udfordrende og spændende. - det er også vigtigt, at man som sygeplejerske føler sig tryg i det, og det gør jeg helt klart. afstanden til lægen er meget kort, siger hun. i fremtiden vil vi møde mere praksispersonale, når vi tager til lægen, spår professor jes søgaard. i dag er der typisk 2-2,5 ansatte per praktiserende læge, men der findes klinikker, hvor der er op til 5-6 ansatte for hver praktiserende læge. - så der er basis for en meget videre udvikling på det her område, siger han. danskere bliver ældre og får flere kroniske og langvarige sygdomme, som kræver hyppige besøg og kontroller hos lægen. - lige præcis dér er sygeplejersker, diætister og andet praksispersonale ekstra dygtige, fordi der er tale om rutinemæssige opgaver, som de varetager mindst ligeså godt som den praktiserende læge selv, siger jes søgaard.",rasmus gade østergaard,Midt- og Vestjylland,2019-10-07 13:59:00+00:00,https://www.dr.dk/nyheder/regionale/midtvest/kurerer-halsbetaendelse-og-vejer-babyer-flere-sygeplejersker-saetter-sig,DR
1272,"500 sygeplejersker er forsvundet fra sygehusene, siden mette frederiksen lovede 1.000 flere","sundhedsminister magnus heunicke (s) mener, at udfordringen kun er blevet større, når det gælder manglen på sygeplejersker.",dansk sygeplejeråd: regering er bagud minister: 'udfordring bliver større',"det er lidt over et år siden, at mette frederiksen lovede, at hvis hun fik statsministerposten, ville hun skaffe 1.000 flere sygeplejersker i 2021. men i løbet af det seneste år er antallet af sygeplejersker på sygehusene faldet med 473 årsværk. værst ser det ud i region sjælland. her var der i 2. kvartal i år 155 årsværk færre blandt sygeplejersker sammenlignet med 3. kvartal sidste år. det viser nye tal fra sundhedsdatastyrelsen. et årsværk svarer til den samlede arbejdstid for én persons fuldtidsarbejde i et år. helle dirksen, der er formand for dansk sygeplejeråds kreds sjælland, mener, at regeringen er bagud med point fra starten, når det gælder at rekruttere flere sygeplejersker til sygehusene. - vi starter fra under nulpunktet. jeg går ud fra, at de manglende sygeplejersker skal lægges oven i de 1.000, som mangler i forvejen, siger hun. helle dirksen bakkes op af professor i sundhedsøkonomi ved syddansk universitet kjeld møller pedersen. han ser det som en meget stor udfordring at finde de ekstra sygeplejersker, som regeringen gik til valg på. - det er jo ikke sådan, at 500 sygeplejersker er arbejdsløse. jeg tror på, at de er søgt ud i kommunerne og i almen praksis, lyder det fra kjeld møller pedersen. sundhedsminister magnus heunicke (s) anerkender, at udfordringen kun er blevet større, når det gælder manglen på sygeplejersker. - de nye tal viser, at mens vi har diskuteret det her, er det gået i den forkerte retning, siger han. i region sjælland skyldes det faldende antal sygeplejersker blandt andet en stor fyringsrunde sidste år. - hvis det kan lade sig gøre at fyre så mange sygeplejersker, så må det også kunne lade sig gøre at få tallet til at gå den anden vej, lyder det fra magnus heunicke. sundhedsministeren pointerer dog, at regeringen forhandler økonomien bag de 1.000 ekstra sygeplejersker på plads i forbindelse med finansloven. - de nye tal viser, at der er et kæmpe behov. det kan man se på tallene og på hvert eneste sygehus. når vi sætter penge af til flere sygeplejersker, så er det for at få vendt udviklingen, siger han.",thor malthe andersen,Politik,2019-11-18 14:16:00+00:00,https://www.dr.dk/nyheder/politik/500-sygeplejersker-er-forsvundet-fra-sygehusene-siden-mette-frederiksen-lovede-1000,DR
1273,aftale om at skaffe 1.000 flere sygeplejersker er i hus,dansk sygeplejeråd bakker op om aftalen mellem regeringen og danske regioner.,,"regeringen har indgået en aftale med danske regioner, der skal sikre 1.000 flere sygeplejersker i 2021, sådan som det blev aftalt i finansloven i december. 500 af sygeplejerskerne skal findes i år. aftalen bakkes op af dansk sygeplejeråd. sygeplejersker på hospitalerne får ret til fuld tid fra i år, alle stillinger opslås på fuld tid, der indføres bedre introduktionsforløb for nyuddannede, og der skal skabes bedre sammenhæng i praktikforløb for at mindske frafaldet på uddannelserne. regeringen har netop afsat 44 mio. kr. til formålet, og det vurderes løbende, hvordan regeringen kan understøtte regionernes arbejde på området. - aftalen betyder en markant og konkret indsats i forhold til sygeplejerskerne ude på sygehusene, som vi vil følge op på, så vi sikrer, at vi når målet om 1.000 flere sygeplejersker, siger finansminister nicolai wammen (s). - aftalen er samtidig et første skridt, hvor vi med den nedsatte task force er i gang med mere bredt at se på, hvordan vi kan sikre flere social- og sundhedsmedarbejdere, siger han. grete christensen, formand for dansk sygeplejeråd støtter, at flere sygeplejersker kommer på heltid, og at støtte uddannelsen. nu går arbejdet så i gang med at få det realiseret på en måde, så det også kan mærkes hos alle de sygeplejersker, som i mange år har holdt sammen på vores fælles sundhedsvæsen og nu er ved at give op. dem skal vi nu kunne give et håb om en bedre fremtid. /dr nyheder/",,Politik,2020-01-10 14:42:00+00:00,https://www.dr.dk/nyheder/politik/aftale-om-skaffe-1000-flere-sygeplejersker-er-i-hus,DR
1274,sygeplejersker sidder ved computeren i stedet for ved patienten: hk vil flytte opgaver tilbage til sekretærerne,"fagforeningen hk mener, at de har løsningen på, at regeringen mangler 1.000 sygeplejersker.",'jeg skal være tæt på dem' beregningerne er gode nok,"de booker lokaler, tager telefonen og skriver i journaler. de danske sygeplejersker bruger en stor del af dagen på ting, der ikke har med den nære patientkontakt at gøre. nogle af opgaverne med at dokumentere patienternes tilstand kræver en sygeplejerskeuddannelse, men det gælder ikke det hele. - at printe labels og gøre klar til patienterne i morgen kunne sagtens være en sekretæropgave, siger anja skovgaard nissen, som er sygeplejerske på odense universitetshospital. og det er fagforeningen hk enig med hende i. de mener, at de kan gøre arbejdet bedre for anja samtidig med, at de kan løse regeringens problem med at skaffe 1.000 sygeplejersker. hk er fagforeningen for lægesekretærer, og deres forslag vil også komme deres medlemmer til gode. forslaget lyder nemlig sådan her: flyt noget af det administrative arbejde tilbage til lægesekretærerne. hvis sygeplejerskerne bliver aflastet administrativt, så er tanken, at de fremover kan nøjes med at bruge 20 procent af arbejdstiden på administrativt arbejde. og det kan gøre en stor forskel for flere personalegrupper, mener de i hk. - alt det administrative arbejde, som dygtige læger og sygeplejersker udfører, er slet ikke nødvendigt. jeg så hellere, at det blev udført af uddannede lægesekretærer, siger winne axelsen, formand hk kommunal i region hovedstaden. anja skovgaard nissen er sygeplejerske på urinvejs-kirurgisk afdeling på odense universitetshospital. på hendes afdeling er der hver dag afsat en sygeplejerske til sekretæropgaver. - dele af opgaven er helt klart sygeplejefaglig, men der er også dele af opgaven, som på ingen måde er sygeplejefaglig i min optik, forklarer hun. patienterne kommer med meget komplekse lidelser. derfor mener anja skovgaard nissen, at sygeplejerskerne ikke skal bruge dyrebar tid foran computeren, men i stedet være, hvor hjælpen er tiltrængt. - folk er her, når de er rigtig syge, og der skal jeg være tæt ved dem, siger hun. professor i sundhedsøkonomi og sundhedspolitik ved syddansk universitet kjeld møller pedersen mener, at hk's logik med at flytte opgaverne og frigive sygeplejersker er god nok. - det er rimelig realistisk, men man kan godt diskutere, om det er fem eller fire procent, der kan flyttes, men det spiller ikke den helt store rolle, siger han og nævner, at det ikke er en gratis løsning. - der skal skaffes et økonomisk råderum til at kunne ansætte flere lægesekretærer. så det er i virkeligheden også en økonomisk udfordring, om der er plads til det, siger han. regeringen forsøger i forbindelse med de igangværende finanslovsforhandlinger at finde ud af, hvor pengene til de ekstra 1.000 sygeplejersker skal komme fra. socialdemokratiets har tidligere nævnt stigende cigaretpriser som løsning. i en tidligere udgave af denne artikel fremgik det, at sygeplejerskerne bruger en fjerdedel af arbejdsdagen på der ikke har noget med patienterne at gøre. det er ikke korrekt, da noget af tiden foregår sammen med patienterne i forbindelse med dokumentation af patienternes tilstand. dr beklager.",sine skott andersen,Fyn,2019-11-21 18:27:00+00:00,https://www.dr.dk/nyheder/regionale/fyn/sygeplejersker-sidder-ved-computeren-i-stedet-ved-patienten-hk-vil-flytte,DR
1275,"kristoffer er en af de sygeplejersker, der skal gøre op med aflyste operationer på aarhus universitetshospital",antallet af anæstesikursister fordoblet fra 7 til 14. det skal være med til at nå 1.000 operationer om ugen.,det haster med at komme i gear smerter og bedøvelse er hverdagen,"der skal flere patienter gennem operationsstuerne på aarhus universitetshospital. region midtjylland er nemlig træt af aflysninger og kaos, som der har hersket på hospitalet i halvandet år, så nu skal målet om 1.000 operationer om ugen være på plads til sommer. en del af den løsning er at uddanne flere anæstesisygeplejersker. de giver bedøvelse og overvåger livsvigtige funktioner som vejrtrækning og ilttilførsel, imens patienten er bedøvet, men der har ikke været nok af dem på universitetshospitalet. det er ikke sådan bare lige at lægge en patient i narkose, og en sygeplejerske skal gennem en overbygning på to år, før man kan kalde sig anæstesisygeplejerske. antallet af anæstesikursister er nu fordoblet fra syv til 14, og en af de nye kursister er kristoffer sanden. - jeg synes, at det er et rigtigt spændende område at arbejde med sygepleje under operationer. vi kan bringe patienterne trygt og sikkert igennem, som når man hopper ud med en faldskærm, så skal vi være faldskærmen, siger han. i videoen herunder kan du se, hvordan det gik, da kristoffer sanden skulle bedøve en patient under sin uddannelse. flytningen og sammenlægningen af byens sygehuse til det store aarhus universitetshospital i skejby er ikke gået som forventet. blandt andet har fordelene ved at være et stort hus i første omgang vist sig at være ulemper, og synergieffekten er udeblevet. det fortæller oversygeplejerske på bedøvelse og operation susanne boll. - det er ikke til stede fra dag et. der er mange nye kolleger og arbejdsgange, man skal lære at kende. vi troede, at vi kunne have færre vagtberedskaber, men vi har måttet have flere i vagt, end vi havde før, siger hun. derfor har konsekvenserne også kunne mærkes for både patienter og kirurger. - de har været frustrerede over, at man ikke har kunnet opnå den kapacitet, som der er brug for. der er ingen, der synes, at det er i orden at aflyse patienter i det omfang, som vi har gjort, siger hun. region midtjylland har tilført 214,3 millioner kroner til hospitalets budget for 2020, men under den forudsætning, at hospitalet leverer 1.000 operationer om ugen, som længe har været målet. i dag ligger antallet mellem 900 og 950 per uge. både susanne boll og hospitalsdirektør poul blaabjerg er optimistiske med at nå målet. - det skal vi gøre. vi er i gang med dels at rekruttere og endnu vigtigere at oplære personalet. det tager noget tid, men hvis vi kigger frem mod sommeren 2020, så når vi de 1.000 og får etableret robuste hold, så der ikke er udsving i forbindelse med for eksempel sygdom, siger han. anæstesikursisten kristoffer sanden er glad for at være med til at hjælpe. - det er dejligt at være med til at sørge for, at vi som sygehus kan yde den service og hjælp til patienterne, de har behov for. der er brug for os, og vi kan gøre en forskel. samtidig får jeg personligt et spændende arbejde, siger han.",gitte hansen,Østjylland,2019-11-13 19:01:00+00:00,https://www.dr.dk/nyheder/regionale/oestjylland/kristoffer-er-en-af-de-sygeplejersker-der-skal-goere-op-med-aflyste,DR
1276,nyt projekt skal få færre til at droppe ud af uddannelse: sygeplejersker får individuel digital undervisning,et fireårigt projekt skal give plads til praktiske opgaver i undervisningen. ,studerende vil afprøve færdigheder,"dygtigere sygeplejersker og mindre frafald på uddannelsen. sådan lyder målene for en helt ny digital form for undervisning, der til sommer skal prøves af på sygeplejerskeuddannelsen flere steder i landet. innovationsfonden har netop givet 17 millioner kroner til projektet på professionshøjskolen absalon, hvor en intelligent og digital undervisning, der bliver tilpasset den enkelte studerende, skal erstatte meget af teoriundervisningen ved tavlen. den individuelle teoriundervisning skal give mere plads til praktiske øvelser på studiet, så de studerende er bedre forberedt på den virkelighed, de møder på hospitalerne. det siger direktør for sundhed ved professionsskolen absalon daniel bojsen. samtidig håber direktøren også, at den digitale undervisning kan være med til at sikre, at flere af de sygeplejersker, der er brug for i øjeblikket, bliver på uddannelsen. professionshøjskolen absalon oplever, at omkring hver femte studerende falder fra blandt andet på grund af den tunge teoriundervisning. - undervisningen vil i højere grad være, at man ikke gennemgår teorien i undervisningen. i stedet bruger man sin sygeplejefaglighed i forhold til simulation, hvor man arbejder med dukker eller laver rollespil. det tror jeg vil gøre uddannelsen sjovere, og jeg håber, at det vil fastholde flere studerende, siger daniel bojsen. pernille schmidt er underviser på sygeplejerskeuddannelsen på absalon. hun ser også frem til den nye type undervisning, hvor der bliver mere plads til rollespil og simulation. hun oplever, at de studerende efterspørger et sted, hvor de kan afprøve deres færdigheder. - det her er et sikkert sted, hvor de kan tillade sig at fejle, uden det har konsekvenser for patienterne. det giver de studerende en tryghed, til når de skal ud i deres praktik og i den virkelige verden. hvis man skal holde sygeplejersker i deres fag, er det vigtigt, at de føler sig trygge, siger hun. den nye digitale og individuelle undervisning vil være en del af et projektforløb de næste fire år på absalons fem sygeplejerskeuddannelser i næstved, slagelse, roskilde, holbæk og nykøbing falster. viser projektet sig at være succes, vil absalon udvide undervisningsmetoden til andre professionsbacheloruddannelser som eksempelvis lærer- og pædagoguddannelsen.",casper lindbjerg greve,Sjælland,2020-02-24 16:10:00+00:00,https://www.dr.dk/nyheder/regionale/sjaelland/nyt-projekt-skal-faa-faerre-til-droppe-ud-af-uddannelse-sygeplejersker,DR
1278,sygeplejerske: sundhedsplatformen gør patienterne mere trygge,på herlev hospital er flere sygeplejersker og patienter glade for mulighederne ved sundhedssektorens nye it-system.,nye redskaber til dokumentation tryghed hos patienterne,"når sundhedsplatformen natten til lørdag indføres på rigshospitalet og glostrup hospital, sker det i kølvandet på massiv kritik fra flere fronter. flere medarbejdere på herlev og gentofte hospital har blandt andet fortalt, at de undgår det nye system, fordi det er problematisk og i stedet løser opgaver i de gamle systemer. blot to uger efter sundhedsplatformen blev indført på herlev og gentofte hospital, var der registreret 9.000 fejl, hvor bestillinger og henvisninger ikke var slået igennem i it-systemet. men på hjertemedicinsk sengeafsnit på herlev hospital er sygeplejerskerne begejstret for sundhedsplatformen, som blev taget i brug i maj 2016. det fortæller afdelingssygeplejerske, marie baastrup: - vi har nu et system, der samler data. det er en enormt stor styrke, da patienterne har komplekse forløb, og systemet giver mulighed for at kunne manøvrere rundt i dem, siger hun til dr nyheder. ifølge marie baastrup har sundhedsplatformen medført redskaber, der gør det lettere for sygeplejerskerne at dokumentere patienternes forløb. helt konkret drejer det sig om en såkaldt rover, der er en slags smartphone, som sygeplejerskerne benytter ved besøg hos patienterne. derudover er der vognen wow (workstation on wheels), som sygeplejerskerne ligeledes kan tage med ind til patienterne. her kan de registrere oplysninger, som de før skulle skrive ned på papir og efterfølgende skrive ind på computer. dermed sparer sygeplejerskerne ifølge marie baastrup tid, blandt andet fordi de har mindre tekst og flere afkrydsningsmuligheder. - patienten involveres i sin egen journal, så det stiller krav til den måde, vi formulerer og dokumenterer os på, siger hun med henvisning til, at sygeplejerskerne nu registrerer data, mens de står ved siden af patienten. derudover giver sundhedsplatformen mulighed for at visualisere data ved at lave dem om til kurver i stedet for at se en masse tal i en række, hvor det kan være svært at spotte udsving, fortæller marie baastrup. - det giver os mulighed for at se patientens journal på en anden måde. ved at omsætte data til kurver kan vi se udviklingen hos patienterne tidligere – hvis det for eksempel er en faldende kurve, siger hun. patienterne er ifølge marie baastrup glade for de nye redskaber, som sundhedsplatformen har medført. - når der er stuegang med wow-vognen, kan de se med og se, at sygeplejersken dokumenterer data med det samme, frem for at det bliver en krøllet seddel i lommen. det giver en forskel i patienternes tryghedsgrad, siger hun. ifølge marie baastrup har hjertemedicinsk sengeafsnit på herlev hospital haft succes med sundhedsplatformen, fordi de har gjort en fælles indsats og set positivt og nysgerrigt på it-systemets nye muligheder.",nynne hein møller,Indland,2016-11-04 12:34:00+00:00,https://www.dr.dk/nyheder/indland/sygeplejerske-sundhedsplatformen-goer-patienterne-mere-trygge,DR
1279,region sjælland går over til sundhedsplatformen i nat - patientforening bekymret,"det er dumt at introducere it-systemet sunhedsplatformen i julen, mener patientforening. ",,"i nat klokken 3 slukker sygehusene i region sjælland for alle de gamle it-systemer og trykker på sundhedsplatformens startknap. det sker på nøjagtigt samme tidspunkt for samtlige sygehuse i regionen, og samme nat som tusinder fejrer julefrokost. og det er særdeles uklogt, mener formanden for patientforeningen, nicolaj bang. - når man gør det lige her i julefrokostsæsonen, så synes jeg nok, man tager en stor chance. og dem, det kommer til at gå ud over, det er patienterne, siger han og tilføjer: - uanset, hvor der indføres nye it-systemer, skaber det altid problemer i starten. vi ved fra region hovedstaden, at der stadig efter halvandet år er problemer. det bekymrer mig, at region sjælland går i luften på en årstid, hvor vi ved, at mange medicinske patienter skaber pres på sygehusene, siger nicolaj bang. men patienterne kan tage det helt roligt, de blive behandlet nøjagtig, som de plejer, forsikrer vicedirektør trine holgersen fra slagelse og næstved sygehuse. - vi er bemandet til at tage imod de patienter, der kommer. udover ekstra it-folk til at bakke læger og sygeplejersker op er der indforskrevet både læger og sygeplejersker som ekstra hjælpere i den første tid, siger hun. trine holgersen tilføjer, at uanset hvilket tidspunkt på året, man vælger at gå i luften med et nyt it-system på, vil det vække kritik. om sommeren skal tusindvis af ansatte have ferie, uddyber hun.",henny mortensen,Sjælland,2017-11-24 06:03:00+00:00,https://www.dr.dk/nyheder/regionale/sjaelland/region-sjaelland-gaar-over-til-sundhedsplatformen-i-nat-patientforening,DR
1280,udskældt it-system kan betyde afskedigelser på riget,"der er brug for flere læger og sandsynligvis færre sygeplejersker og sekretærer, mener direktøren på rigshospitalet.",,"rigshospitalets sygeplejersker og sekretærer skal måske indstille sig på at sige farvel til kolleger på grund af det omdiskuterede it-system sundhedsplatformen. it-systemet har medført, at hospitalet stadig ikke behandler lige så mange patienter, som det skal fire uger efter, at systemet er blevet indført. det skyldes ifølge formanden for rigshospitalets overlægeråd fin biering-sørensen, at lægerne i den forbindelse har overtaget flere opgaver fra sygeplejersker og sekretærer. blandt andet journalisering og bestilling af prøver. det får nu direktør per christiansen til at varsle afskedigelser. - når man har en arbejdsglidning i den retning, så medfører det, at man skal have en anden personalesammensætning. det bliver ikke én stor afskedigelsesrunde, men noget der vil ske stille og roligt med naturlige afgange og andre opgavefordelinger, siger han. per christiansen har ikke på nuværende tidspunkt det fulde overblik over præcis hvilke personalegrupper, der bliver ramt af afskedigelser. han regner dog med, at det kommer til at ramme sygeplejersker og sekretærer. samtidig håber han, at rigshospitalet kommer til at ansætte flere læger. - jeg forudser, at vi ansætter flere læger, fordi de har fået flere opgaver i forbindelse med sundhedsplatformen, siger han. rigshospitalet indførte det nye it-system den 5. november, efter det havde fået meget kritik for at skabe kaos på herlev-gentofte hospital, hvor det blev rullet ud i maj.",peter bye andersen,København,2016-12-07 12:00:00+00:00,https://www.dr.dk/nyheder/regionale/hovedstadsomraadet/udskaeldt-it-system-kan-betyde-afskedigelser-paa-riget,DR
1281,britiske læger demonstrerer for at redde skrantende sygehuse,"kronjuvelen i det britiske velfærdssamfund, sundhedsvæsnet nhs, er under massivt pres.",storbritannien søger 40.000 sygeplejersker stolte af sundhedsvæsnet 227 milliarder til nhs,"vrede læger var i dag på gaden for at advare mod udviklingen i det system, der de seneste 71 år har leveret gratis sundhedsydelser til briterne: nhs - national health service eller den nationale sundhedstjeneste i storbritannien. - sundhedsvæsnet er tvunget i knæ, og det holdes kun i gang på grund af de dedikerede ansatte, der har lange vagter og ubetalt overarbejde. de ansatte giver den en ekstra skalle, siger lægen jackie turner. valget i storbritannien den 12. december kaldes et brexit-valg. men spørger man vælgerne, er sundhedsvæsenet lige så vigtigt som brexit. især personalemangel og lange ventelister betyder, at nhs, som briterne historisk har været så stolte af, lider. lige nu mangler nhs næsten 100.000 medarbejdere - for eksempel omkring 40.000 sygeplejersker og næsten 10.000 læger. det har været med til at skabe de værste ventelister på britiske sygehuse nogensinde. nye tal viser for eksempel, at: - i løbet af de seneste år er sundhedsvæsnet slet ikke til at kende længere, da der er lange ventetider og mangel på sygeplejesker og læger, siger lægen phil edwards til demostrationen. - nhs har aldrig været værre, og det er smurt meget tyndt ud. jeg er lige gået på tidlig pension, ligesom alle mine venner, i en alder af 57 på grund af presset, siger den nu tidligere læge evette saldana. - nhs fylder kolossalt i valgkampen. sundhed er noget, der fylder i folks hverdag. der er store krav til, at sundhedssystemet skal fungere og store forventninger til det, påpeger dr nyheders korrespondent i storbritannien, kim bildsøe lassen. nhs bliver kaldt kronjuvelen i det britiske velfærdssamfund, og det er den vigtigste arbejdsgiver i storbritannien, da 1,5 millioner arbejder i sundhedssystemet. og nhs er lige så vigtigt for briterne i valgkampen som et truende exit fra eu, lyder det fra kim bildsøe lassen. - briterne er utroligt stolte af, at man har et nationalt sundhedsvæsen, som alt andet lige har fungeret godt i mange år. det britiske samfund er delt i klasser, men nhs binder nationen sammen, ligesom kongehuset, forklarer han. med nhs i hjertet af valgkampen overbyder de politiske lejre hinanden for at redde og genoprette nhs. de britiske konservative lover at bruge 20 milliarder pund, godt 174 milliarder kroner, mere på nhs de næste fem år, og de vil uddanne og ansætte 6000 nye læger samt bygge 40 store hospitaler. arbejderpartiet labour trumfer med løfter om at bruge 26 milliarder pund, knap 227 milliarder kroner, mere på nhs de næste fem år, og så skal der skæres ned på ventelisterne og gives studiestipendier til sygepleje-studerende. på gaden er der dog ikke meget tiltro til den siddende regering. - jeg har ikke tiltro til premierminister boris johnson - og da slet ikke når det drejer sig om nhs. det tror jeg, at mange er enige i, siger phil edwards. jackie turner er enig med sin lægekollega. - de konservative har siddet på magten siden 2010, og det eneste, de har gjort, er at tage penge fra nhs.",clara binczak lindhardt,Udland,2019-11-21 20:47:00+00:00,https://www.dr.dk/nyheder/udland/britiske-laeger-demonstrerer-redde-skrantende-sygehuse,DR
